Tags,AP LED Flash Status,Device Name,IP Address,Device Family,Reachability,EoX Status,Manageability,Compliance,Health Score,Site,MAC Address,Device Role,Image Version,Uptime,Last Updated,Resync Interval,Serial Number,Device Series,Platform,Support Type,Software Image,OS Update Status,Image Needs Update,Image Precheck Status,Provisioning Status,Credential Status,Last Provisioned,Associated WLC IP,AP CDP Neighbors,AP Group Name,Flex Group Name,AP Ethernet Mac Address,AP Location,Application Telemetry,Advisories,Integrity Verification
Edge-Node,Unsupported,347-g14-a-1.net.uwa.edu.au,10.88.40.30,Switches and Hubs,Reachable,,Managed (Syncing...),COMPLIANT,8,Global/CRAWLEY/347/Ground Floor,80:24:8f:a9:86:00,ACCESS,17.9.3,11 days 23 hrs ,11 minutes ago,24:00:00,"FOC2542YPG9, FOC2542YFKF, FOC2542YPG3, FOC2604YK9A, FOC2604YKBH, FOC2604YKBX",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,4 months ago,,,,,,,Enabled,,PASSED
Aggregation Switch,Unsupported,347-g14-g-1.net.uwa.edu.au,10.88.40.28,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/347/Ground Floor,48:2e:72:13:b2:60,DISTRIBUTION,17.9.3,12 days 4 mins ,13 hours ago,24:00:00,FDO26160PB7,Cisco Catalyst 9500 Series Switches,C9500-24Y4C,Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,7 months ago,,,,,,,Not Provisioned,,PASSED
Edge-Node,Unsupported,349-101-a-1.net.uwa.edu.au,10.88.40.35,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/349/First Floor,44:88:16:0e:ed:00,ACCESS,17.9.3,12 days 32 mins ,2 hours ago,24:00:00,FOC2629YQHR,Cisco Catalyst 9300 Series Switches,C9300L-48P-4X,Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Not Applied,4 months ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,351-192a-a-1.net.uwa.edu.au,10.88.24.5,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/351/First Floor,8c:94:1f:81:81:00,ACCESS,17.9.3,12 days 2 hrs ,an hour ago,24:00:00,FOC2443L9NV,Cisco Catalyst 9300 Series Switches,C9300L-48P-4X,Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,351-293-a-1.net.uwa.edu.au,10.88.24.6,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/351/Second Floor,40:f0:78:10:5f:00,ACCESS,17.9.3,12 days 3 hrs ,5 minutes ago,24:00:00,"FOC2443LACE, FOC2604YJF7",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-48P-4X",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,351-g91-a-1.net.uwa.edu.au,10.88.24.4,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/351/Ground Floor,04:76:b0:ae:a8:00,ACCESS,17.9.3,12 days 3 hrs ,an hour ago,24:00:00,"FOC2443LACC, FOC2443L4LT",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-24P-4X",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Enabled,,PASSED
Aggregation Switch,Unsupported,351-g91-g-1.net.uwa.edu.au,10.88.24.2,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/351/Ground Floor,dc:77:4c:ae:4c:00,DISTRIBUTION,17.9.3,12 days 3 hrs ,13 hours ago,24:00:00,FOC2443LBFL,Cisco Catalyst 9500 Series Switches,C9500-16X,Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Not Provisioned,,PASSED
Edge-Node,Unsupported,352-218-a-1.net.uwa.edu.au,10.88.24.85,Switches and Hubs,Reachable,,Managed,NON_COMPLIANT,8,Global/CRAWLEY/352/Second Floor,44:88:16:0e:cb:80,ACCESS,17.9.3,11 days 21 hrs ,a few seconds ago,24:00:00,"FOC2629YQNY, FOC2629YR9D, FOC2629YQL2, FOC2629YM4M, FOC2629YPZB, FOC2604YHX2",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-24P-4X",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Not Applied,a month ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,352-218-a-2.net.uwa.edu.au,10.88.24.86,Switches and Hubs,Reachable,,Managed,COMPLIANT,8,Global/CRAWLEY/352/Second Floor,88:fc:5d:5f:49:00,ACCESS,17.9.3,11 days 21 hrs ,6 minutes ago,24:00:00,"FOC2629YSCA, FOC2629YRBN, FOC2629YNGW, FOC2547YD3F",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-24P-4X",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Not Applied,a month ago,,,,,,,Enabled,,PASSED
Aggregation Switch,Unsupported,352-218-g-1.net.uwa.edu.au,10.88.24.83,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/352/Second Floor,80:6a:00:6d:72:80,DISTRIBUTION,17.9.3,11 days 21 hrs ,13 hours ago,24:00:00,FDO2614052A,Cisco Catalyst 9500 Series Switches,C9500-24Y4C,Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Not Applied,a month ago,,,,,,,Not Provisioned,,PASSED
